iter	Passed	Remaining
0	78	48225
1	92	28539
2	106	21902
3	120	18461
4	133	16362
5	146	14952
6	159	13951
7	172	13210
8	185	12598
9	198	12111
10	211	11675
11	223	11321
12	236	11005
13	248	10737
14	260	10501
15	274	10331
16	287	10176
17	302	10105
18	318	10058
19	331	9940
20	344	9822
21	357	9698
22	370	9605
23	384	9527
24	397	9448
25	412	9403
26	425	9318
27	437	9237
28	450	9166
29	463	9099
30	476	9028
31	488	8959
32	501	8901
33	514	8843
34	526	8787
35	539	8730
36	551	8681
37	564	8635
38	577	8590
39	592	8571
40	610	8609
41	623	8565
42	636	8521
43	649	8481
44	662	8449
45	674	8407
46	687	8363
47	700	8327
48	712	8290
49	725	8250
50	737	8213
51	750	8179
52	763	8149
53	777	8132
54	791	8121
55	804	8085
56	817	8064
57	831	8041
58	844	8018
59	857	7988
60	870	7962
61	883	7940
62	898	7926
63	912	7916
64	928	7916
65	945	7920
66	960	7916
67	973	7886
68	986	7861
69	999	7841
70	1013	7820
71	1026	7795
72	1038	7767
73	1051	7740
74	1063	7717
75	1077	7694
76	1089	7669
77	1101	7642
78	1114	7620
79	1127	7598
80	1139	7571
81	1152	7547
82	1165	7525
83	1178	7503
84	1190	7481
85	1202	7452
86	1216	7441
87	1233	7441
88	1248	7434
89	1263	7424
90	1276	7408
91	1289	7388
92	1302	7366
93	1315	7344
94	1328	7326
95	1340	7305
96	1354	7287
97	1366	7265
98	1379	7244
99	1392	7225
100	1406	7211
101	1418	7191
102	1431	7171
103	1445	7156
104	1457	7136
105	1471	7121
106	1484	7104
107	1501	7103
108	1514	7083
109	1527	7068
110	1541	7053
111	1555	7039
112	1569	7025
113	1581	7007
114	1594	6988
115	1607	6970
116	1620	6951
117	1632	6932
118	1645	6914
119	1659	6899
120	1672	6881
121	1684	6862
122	1697	6843
123	1709	6825
124	1722	6806
125	1734	6786
126	1748	6772
127	1765	6770
128	1778	6754
129	1791	6737
130	1803	6719
131	1817	6703
132	1829	6684
133	1842	6668
134	1855	6651
135	1868	6635
136	1880	6616
137	1893	6598
138	1905	6581
139	1918	6563
140	1930	6545
141	1943	6529
142	1956	6512
143	1970	6499
144	1982	6482
145	1995	6463
146	2008	6449
147	2021	6432
148	2035	6419
149	2047	6402
150	2061	6388
151	2074	6373
152	2088	6361
153	2105	6357
154	2120	6348
155	2133	6332
156	2145	6314
157	2158	6297
158	2172	6284
159	2187	6273
160	2200	6259
161	2213	6243
162	2226	6228
163	2238	6211
164	2251	6196
165	2264	6180
166	2277	6163
167	2289	6146
168	2302	6131
169	2315	6114
170	2327	6098
171	2340	6083
172	2353	6067
173	2366	6053
174	2379	6036
175	2391	6020
176	2404	6005
177	2417	5989
178	2429	5972
179	2442	5956
180	2455	5942
181	2468	5926
182	2481	5911
183	2493	5896
184	2506	5880
185	2519	5864
186	2532	5851
187	2545	5836
188	2557	5819
189	2571	5805
190	2583	5790
191	2596	5773
192	2608	5757
193	2621	5743
194	2635	5729
195	2647	5713
196	2659	5697
197	2674	5686
198	2689	5675
199	2702	5661
200	2715	5646
201	2727	5631
202	2741	5617
203	2754	5603
204	2767	5588
205	2779	5573
206	2793	5559
207	2805	5543
208	2819	5530
209	2834	5521
210	2849	5510
211	2863	5496
212	2875	5480
213	2888	5466
214	2901	5452
215	2914	5437
216	2927	5422
217	2939	5407
218	2953	5393
219	2966	5379
220	2979	5366
221	2993	5352
222	3005	5337
223	3018	5322
224	3031	5307
225	3043	5292
226	3056	5278
227	3069	5263
228	3081	5247
229	3093	5232
230	3108	5221
231	3123	5209
232	3138	5199
233	3152	5186
234	3165	5172
235	3179	5159
236	3195	5150
237	3221	5157
238	3247	5163
239	3267	5159
240	3282	5148
241	3296	5135
242	3310	5122
243	3322	5106
244	3336	5093
245	3350	5080
246	3365	5068
247	3378	5054
248	3392	5040
249	3408	5031
250	3421	5016
251	3434	5001
252	3447	4987
253	3461	4973
254	3474	4959
255	3487	4945
256	3501	4931
257	3514	4917
258	3528	4903
259	3541	4889
260	3555	4876
261	3567	4861
262	3580	4847
263	3594	4833
264	3608	4820
265	3622	4807
266	3636	4794
267	3649	4779
268	3662	4765
269	3676	4752
270	3690	4738
271	3702	4723
272	3716	4710
273	3729	4695
274	3743	4682
275	3756	4668
276	3769	4654
277	3781	4639
278	3795	4625
279	3809	4612
280	3822	4597
281	3835	4583
282	3849	4569
283	3861	4555
284	3875	4541
285	3888	4527
286	3900	4512
287	3914	4498
288	3926	4483
289	3939	4469
290	3953	4455
291	3965	4440
292	3978	4426
293	3991	4412
294	4004	4398
295	4017	4384
296	4029	4369
297	4043	4355
298	4056	4341
299	4069	4327
300	4083	4313
301	4096	4300
302	4109	4286
303	4124	4273
304	4137	4260
305	4150	4245
306	4163	4231
307	4176	4216
308	4189	4202
309	4201	4188
310	4215	4174
311	4227	4160
312	4241	4146
313	4254	4132
314	4267	4118
315	4280	4104
316	4293	4090
317	4307	4077
318	4320	4062
319	4332	4048
320	4345	4034
321	4359	4020
322	4372	4007
323	4385	3992
324	4398	3978
325	4410	3964
326	4423	3950
327	4437	3937
328	4450	3923
329	4464	3909
330	4477	3895
331	4489	3880
332	4502	3867
333	4516	3853
334	4528	3838
335	4541	3825
336	4555	3812
337	4569	3798
338	4581	3784
339	4594	3770
340	4608	3756
341	4621	3743
342	4634	3729
343	4647	3715
344	4660	3701
345	4674	3687
346	4687	3674
347	4701	3661
348	4714	3647
349	4727	3633
350	4741	3620
351	4754	3606
352	4767	3592
353	4780	3578
354	4792	3564
355	4805	3550
356	4819	3536
357	4834	3524
358	4848	3511
359	4862	3498
360	4877	3485
361	4890	3472
362	4904	3458
363	4918	3445
364	4932	3432
365	4946	3419
366	4963	3408
367	4979	3396
368	4994	3384
369	5010	3371
370	5029	3362
371	5042	3348
372	5055	3334
373	5071	3322
374	5085	3309
375	5099	3295
376	5112	3281
377	5125	3268
378	5138	3254
379	5152	3240
380	5165	3226
381	5179	3213
382	5194	3200
383	5211	3189
384	5224	3175
385	5237	3161
386	5251	3148
